EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10043763,AROOSTOOK CO.,,05/17/1967,1400,Thunderstorm Wind,51,,0,0,0,0,ME,CST,,,C,3,,0,0,,,0,0,0,,0,,,05/17/1967,1400,46.78,-67.9,,,,,97
10043764,KENNEBEC CO.,,06/17/1967,1400,Tornado,0,F1,0,0,25000,0,ME,CST,,,C,11,,0,0,,,1,17,0,,0,,,06/17/1967,1400,44.52,-69.98,,,,,98
10043765,PISCATAQUIS CO.,,07/24/1967,1800,Hail,0.75,,0,0,0,0,ME,CST,,,C,21,,0,0,,,0,0,0,,0,,,07/24/1967,1800,45.58,-69.68,,,,,99
10043766,CUMBERLAND CO.,,07/25/1967,2000,Thunderstorm Wind,0,,0,0,0,0,ME,CST,,,C,5,,0,0,,,0,0,0,,0,,,07/25/1967,2000,43.7,-70.4,,,,,100
10043767,FRANKLIN CO.,,08/28/1967,1900,Thunderstorm Wind,0,,0,0,0,0,ME,CST,,,C,7,,0,0,,,0,0,0,,0,,,08/28/1967,1900,44.58,-70,,,,,101
10043768,SAGADAHOC CO.,,06/20/1968,900,Hail,0.75,,0,0,0,0,ME,CST,,,C,23,,0,0,,,0,0,0,,0,,,06/20/1968,900,43.88,-69.78,,,,,102
10044606,KENNEBEC CO.,,07/01/1968,1411,Tornado,0,F1,0,0,25000,0,ME,CST,,,C,11,,0,0,,,2.3,33,0,,0,,,07/01/1968,1411,44.23,-69.77,44.18,-69.75,,,103
10044607,WALDO CO.,,07/01/1968,1500,Tornado,0,F1,0,2,2500,0,ME,CST,,,C,27,,0,0,,,0.3,27,0,,0,,,07/01/1968,1500,44.3,-68.9,,,,,104
10044820,KENNEBEC CO.,,07/01/1968,1500,Thunderstorm Wind,0,,0,0,0,0,ME,CST,,,C,11,,0,0,,,0,0,0,,0,,,07/01/1968,1500,44.5,-69.68,,,,,105
10044819,SOMERSET CO.,,07/01/1968,1500,Thunderstorm Wind,0,,0,0,0,0,ME,CST,,,C,25,,0,0,,,0,0,0,,0,,,07/01/1968,1500,45,-69.9,,,,,106
